 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 19, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Lead.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.1344E+01 g/cm3 = 3.2971E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =   eV / (1E15 atoms/cm2)
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 900.00 keV   2.286E+01  2.176E-02    7.79 um     9984 A      1.44 um  
   1.00 MeV   2.160E+01  2.004E-02    9.07 um     1.12 um     1.64 um  
   1.10 MeV   2.077E+01  1.860E-02   10.42 um     1.24 um     1.85 um  
   1.20 MeV   1.997E+01  1.736E-02   11.82 um     1.36 um     2.06 um  
   1.30 MeV   1.926E+01  1.629E-02   13.28 um     1.49 um     2.28 um  
   1.40 MeV   1.861E+01  1.536E-02   14.79 um     1.61 um     2.50 um  
   1.50 MeV   1.802E+01  1.453E-02   16.35 um     1.74 um     2.73 um  
   1.60 MeV   1.748E+01  1.380E-02   17.97 um     1.87 um     2.97 um  
   1.70 MeV   1.697E+01  1.314E-02   19.64 um     2.01 um     3.21 um  
   1.80 MeV   1.650E+01  1.255E-02   21.36 um     2.14 um     3.45 um  
   2.00 MeV   1.566E+01  1.153E-02   24.95 um     2.44 um     3.96 um  
   2.25 MeV   1.474E+01  1.047E-02   29.70 um     2.83 um     4.62 um  
   2.50 MeV   1.394E+01  9.609E-03   34.75 um     3.23 um     5.31 um  
   2.75 MeV   1.325E+01  8.886E-03   40.08 um     3.64 um     6.03 um  
   3.00 MeV   1.263E+01  8.271E-03   45.68 um     4.06 um     6.77 um  
   3.25 MeV   1.209E+01  7.742E-03   51.56 um     4.48 um     7.55 um  
   3.50 MeV   1.160E+01  7.281E-03   57.70 um     4.91 um     8.34 um  
   3.75 MeV   1.115E+01  6.875E-03   64.10 um     5.35 um     9.17 um  
   4.00 MeV   1.075E+01  6.516E-03   70.75 um     5.80 um    10.02 um  
   4.50 MeV   1.003E+01  5.905E-03   84.80 um     6.86 um    11.79 um  
   5.00 MeV   9.427E+00  5.406E-03   99.81 um     7.93 um    13.66 um  
   5.50 MeV   8.903E+00  4.990E-03  115.77 um     9.03 um    15.62 um  
   6.00 MeV   8.444E+00  4.637E-03  132.64 um    10.14 um    17.67 um  
   6.50 MeV   8.039E+00  4.333E-03  150.42 um    11.29 um    19.80 um  
   7.00 MeV   7.677E+00  4.070E-03  169.07 um    12.46 um    22.03 um  
   8.00 MeV   7.058E+00  3.633E-03  208.93 um    15.37 um    26.72 um  
   9.00 MeV   6.547E+00  3.286E-03  252.15 um    18.31 um    31.74 um  
  10.00 MeV   6.115E+00  3.003E-03  298.61 um    21.32 um    37.07 um  
  11.00 MeV   5.746E+00  2.768E-03  348.25 um    24.40 um    42.70 um  
  12.00 MeV   5.425E+00  2.568E-03  400.98 um    27.57 um    48.63 um  
  13.00 MeV   5.143E+00  2.397E-03  456.75 um    30.82 um    54.84 um  
  14.00 MeV   4.894E+00  2.249E-03  515.50 um    34.17 um    61.34 um  
  15.00 MeV   4.671E+00  2.119E-03  577.17 um    37.60 um    68.11 um  
  16.00 MeV   4.471E+00  2.004E-03  641.72 um    41.14 um    75.15 um  
  17.00 MeV   4.290E+00  1.901E-03  709.10 um    44.76 um    82.46 um  
  18.00 MeV   4.125E+00  1.809E-03  779.28 um    48.47 um    90.03 um  
  20.00 MeV   3.836E+00  1.651E-03  927.81 um    57.98 um   105.94 um  
  22.50 MeV   3.534E+00  1.490E-03    1.13 mm    71.09 um   127.22 um  
  25.00 MeV   3.283E+00  1.359E-03    1.35 mm    84.31 um   150.01 um  
  27.50 MeV   3.070E+00  1.251E-03    1.58 mm    97.78 um   174.26 um  
  30.00 MeV   2.887E+00  1.159E-03    1.83 mm   111.57 um   199.92 um  
  32.50 MeV   2.728E+00  1.081E-03    2.09 mm   125.73 um   226.95 um  
  35.00 MeV   2.588E+00  1.012E-03    2.37 mm   140.27 um   255.33 um  
  37.50 MeV   2.464E+00  9.529E-04    2.66 mm   155.20 um   285.01 um  
  40.00 MeV   2.354E+00  9.003E-04    2.97 mm   170.52 um   315.97 um  
  45.00 MeV   2.164E+00  8.115E-04    3.63 mm   212.22 um   381.64 um  
  50.00 MeV   2.008E+00  7.394E-04    4.34 mm   253.87 um   452.11 um  
  55.00 MeV   1.876E+00  6.797E-04    5.10 mm   296.04 um   527.18 um  
  60.00 MeV   1.764E+00  6.293E-04    5.92 mm   339.03 um   606.69 um  
  65.00 MeV   1.666E+00  5.861E-04    6.79 mm   382.97 um   690.47 um  
  70.00 MeV   1.581E+00  5.488E-04    7.70 mm   427.94 um   778.38 um  
  80.00 MeV   1.440E+00  4.874E-04    9.67 mm   555.36 um   966.09 um  
  90.00 MeV   1.327E+00  4.389E-04   11.82 mm   680.65 um     1.17 mm  
 100.00 MeV   1.234E+00  3.995E-04   14.15 mm   806.44 um     1.39 mm  
 110.00 MeV   1.157E+00  3.669E-04   16.64 mm   933.88 um     1.62 mm  
 120.00 MeV   1.091E+00  3.394E-04   19.29 mm     1.06 mm     1.86 mm  
 130.00 MeV   1.034E+00  3.160E-04   22.09 mm     1.20 mm     2.11 mm  
 140.00 MeV   9.854E-01  2.957E-04   25.04 mm     1.33 mm     2.38 mm  
 150.00 MeV   9.424E-01  2.779E-04   28.13 mm     1.47 mm     2.65 mm  
 160.00 MeV   9.044E-01  2.623E-04   31.36 mm     1.61 mm     2.94 mm  
 170.00 MeV   8.705E-01  2.484E-04   34.72 mm     1.75 mm     3.24 mm  
 180.00 MeV   8.402E-01  2.359E-04   38.21 mm     1.89 mm     3.54 mm  
 200.00 MeV   7.880E-01  2.146E-04   45.54 mm     2.30 mm     4.17 mm  
 225.00 MeV   7.352E-01  1.930E-04   55.34 mm     2.86 mm     5.01 mm  
 250.00 MeV   6.925E-01  1.755E-04   65.80 mm     3.40 mm     5.89 mm  
 275.00 MeV   6.573E-01  1.610E-04   76.87 mm     3.94 mm     6.80 mm  
 300.00 MeV   6.278E-01  1.489E-04   88.49 mm     4.46 mm     7.75 mm  
 325.00 MeV   6.028E-01  1.385E-04  100.64 mm     4.98 mm     8.73 mm  
 350.00 MeV   5.813E-01  1.295E-04  113.27 mm     5.50 mm     9.73 mm  
 375.00 MeV   5.627E-01  1.216E-04  126.34 mm     6.02 mm    10.75 mm  
 400.00 MeV   5.464E-01  1.147E-04  139.83 mm     6.54 mm    11.80 mm  
