 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 03, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Fe-Mg-Si- O.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  3.3200E+00 g/cm3 = 7.1295E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Fe     26    022.22    044.26   
     Mg     12    022.22    019.26   
     Si     14    011.11    011.13   
      O      8    044.44    025.36   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =   eV / (1E15 atoms/cm2)
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  13.00 MeV   1.271E+00  6.140E-04  816.41 um    36.10 um    39.03 um  
  14.00 MeV   1.200E+00  5.748E-04  929.48 um    40.21 um    44.20 um  
  15.00 MeV   1.137E+00  5.405E-04    1.05 mm    44.40 um    49.64 um  
  16.00 MeV   1.081E+00  5.102E-04    1.17 mm    48.66 um    55.34 um  
  17.00 MeV   1.031E+00  4.833E-04    1.31 mm    53.01 um    61.31 um  
  18.00 MeV   9.861E-01  4.592E-04    1.45 mm    57.45 um    67.54 um  
  20.00 MeV   9.080E-01  4.178E-04    1.74 mm    72.75 um    80.77 um  
  22.50 MeV   8.279E-01  3.759E-04    2.14 mm    94.54 um    98.72 um  
  25.00 MeV   7.621E-01  3.420E-04    2.58 mm   115.43 um   118.18 um  
  27.50 MeV   7.072E-01  3.139E-04    3.06 mm   136.05 um   139.13 um  
  30.00 MeV   6.605E-01  2.903E-04    3.57 mm   156.69 um   161.51 um  
  32.50 MeV   6.202E-01  2.701E-04    4.12 mm   177.50 um   185.30 um  
  35.00 MeV   5.852E-01  2.526E-04    4.69 mm   198.57 um   210.47 um  
  37.50 MeV   5.545E-01  2.374E-04    5.31 mm   219.94 um   236.98 um  
  40.00 MeV   5.272E-01  2.239E-04    5.95 mm   241.64 um   264.80 um  
  45.00 MeV   4.809E-01  2.013E-04    7.34 mm   317.68 um   324.30 um  
  50.00 MeV   4.432E-01  1.830E-04    8.85 mm   389.82 um   388.78 um  
  55.00 MeV   4.117E-01  1.679E-04   10.49 mm   460.54 um   458.03 um  
  60.00 MeV   3.851E-01  1.551E-04   12.24 mm   530.96 um   531.91 um  
  65.00 MeV   3.622E-01  1.443E-04   14.12 mm   601.62 um   610.26 um  
  70.00 MeV   3.424E-01  1.349E-04   16.10 mm   672.84 um   692.92 um  
  80.00 MeV   3.096E-01  1.195E-04   20.39 mm   922.43 um   870.71 um  
  90.00 MeV   2.836E-01  1.073E-04   25.11 mm     1.16 mm     1.06 mm  
 100.00 MeV   2.625E-01  9.750E-05   30.23 mm     1.38 mm     1.27 mm  
 110.00 MeV   2.450E-01  8.938E-05   35.74 mm     1.61 mm     1.50 mm  
 120.00 MeV   2.302E-01  8.256E-05   41.63 mm     1.83 mm     1.73 mm  
 130.00 MeV   2.176E-01  7.674E-05   47.87 mm     2.06 mm     1.98 mm  
 140.00 MeV   2.067E-01  7.172E-05   54.46 mm     2.28 mm     2.24 mm  
 150.00 MeV   1.971E-01  6.733E-05   61.39 mm     2.51 mm     2.51 mm  
 160.00 MeV   1.887E-01  6.347E-05   68.64 mm     2.74 mm     2.79 mm  
 170.00 MeV   1.812E-01  6.005E-05   76.20 mm     2.97 mm     3.09 mm  
 180.00 MeV   1.746E-01  5.699E-05   84.06 mm     3.20 mm     3.39 mm  
 200.00 MeV   1.631E-01  5.174E-05  100.63 mm     4.03 mm     4.02 mm  
 225.00 MeV   1.516E-01  4.645E-05  122.86 mm     5.18 mm     4.86 mm  
 250.00 MeV   1.423E-01  4.217E-05  146.67 mm     6.25 mm     5.74 mm  
 275.00 MeV   1.347E-01  3.863E-05  171.93 mm     7.27 mm     6.66 mm  
 300.00 MeV   1.283E-01  3.566E-05  198.53 mm     8.27 mm     7.62 mm  
 325.00 MeV   1.229E-01  3.313E-05  226.38 mm     9.24 mm     8.62 mm  
 350.00 MeV   1.182E-01  3.095E-05  255.40 mm    10.20 mm     9.64 mm  
 375.00 MeV   1.142E-01  2.904E-05  285.49 mm    11.14 mm    10.68 mm  
 400.00 MeV   1.107E-01  2.737E-05  316.60 mm    12.07 mm    11.75 mm  
 450.00 MeV   1.049E-01  2.455E-05  381.52 mm    15.33 mm    13.94 mm  
